0.17700018	0.781137736	0.245707065	1.71E-03	5.27E-02	0.681411207
0.178000182	0.790752953	0.247338876	1.92E-03	5.41E-02	0.683293462
0.179000184	0.800396303	0.248951808	2.13E-03	5.55E-02	0.685058236
0.180000186	0.810062707	0.250545263	2.36E-03	5.70E-02	0.686711371
0.181000188	0.819747064	0.252118737	2.61E-03	5.84E-02	0.688259125
0.18200019	0.82944428	0.253671855	2.86E-03	5.99E-02	0.689707816
0.183000192	0.839149304	0.25520432	3.12E-03	6.14E-02	0.691063702
0.184000194	0.848857151	0.256715864	3.39E-03	6.30E-02	0.692333341
0.185000196	0.858562936	0.258206457	3.68E-03	6.46E-02	0.693523288
0.186000198	0.868261906	0.259676009	3.97E-03	6.61E-02	0.694639921
0.1870002	0.877949462	0.261124671	4.26E-03	6.78E-02	0.695689857
0.188000202	0.887621194	0.262552589	4.57E-03	6.94E-02	0.696679473
0.189000204	0.897272901	0.263960123	4.88E-03	7.11E-02	0.697615266
0.190000206	0.906900621	0.2653476	5.19E-03	7.28E-02	0.698503435
0.191000208	0.916500649	0.266715556	5.50E-03	7.45E-02	0.699350297
0.19200021	0.926069565	0.268064529	5.82E-03	7.62E-02	0.700161815
0.193000212	0.935604246	0.269395262	6.14E-03	7.80E-02	0.700944006
0.194000214	0.945101888	0.270708501	6.46E-03	7.97E-02	0.701702595
0.195000216	0.954560017	0.272005051	6.78E-03	8.15E-02	0.702443123
0.196000218	0.963976505	0.273285896	7.09E-03	8.34E-02	0.703171074
0.19700022	0.973349578	0.274552017	7.41E-03	8.52E-02	0.703891575
0.198000222	0.982677822	0.27580443	7.71E-03	8.71E-02	0.704609573
0.199000224	0.991960193	0.277044326	8.02E-03	8.89E-02	0.705329835
0.200000226	1.001196014	0.278272867	8.31E-03	9.08E-02	0.706056952
0.201000229	1.010384976	0.279491276	8.60E-03	9.28E-02	0.706795096
0.202000231	1.019527142	0.280700833	8.88E-03	9.47E-02	0.70754832
0.203000233	1.028622933	0.28190279	9.15E-03	9.67E-02	0.708320379
0.204000235	1.03767313	0.283098519	9.41E-03	9.87E-02	0.709114909
0.205000237	1.046678859	0.28428933	9.66E-03	0.100655034	0.709935009
0.206000239	1.055641584	0.285476595	9.90E-03	0.102676034	0.710783839
0.207000241	1.064563281	0.286661863	1.01E-02	0.104716741	0.711664081
0.208000243	1.073445687	0.287846088	1.03E-02	0.106777266	0.712578177
0.209000245	1.082291369	0.28903082	1.05E-02	0.108857736	0.713528395
0.210000247	1.091102999	0.2902174	1.07E-02	0.110958338	0.714516699
0.211000249	1.099883502	0.291407049	1.09E-02	0.113079309	0.715544701
0.212000251	1.108636045	0.292601109	1.10E-02	0.115220927	0.716614008
0.213000253	1.117364011	0.293800771	1.12E-02	0.117383495	0.717725635
0.214000255	1.126070977	0.295007199	1.13E-02	0.119567402	0.718880594
0.215000257	1.134760692	0.296221524	1.14E-02	0.121773042	0.720079541
0.216000259	1.143437055	0.29744485	1.14E-02	0.124000877	0.721322834
0.217000261	1.152104088	0.29867816	1.15E-02	0.1262514	0.722610772
0.218000263	1.160765913	0.299922407	1.15E-02	0.128525138	0.723943233
0.219000265	1.169426725	0.301178485	1.16E-02	0.130822688	0.725319982
0.220000267	1.178090768	0.30244711	1.16E-02	0.133144632	0.72674042
0.221000269	1.186762311	0.303729087	1.15E-02	0.135491639	0.728203773
0.222000271	1.195445617	0.305024981	1.15E-02	0.137864381	0.729709208
0.223000273	1.204144924	0.30633533	1.15E-02	0.140263572	0.731255472
0.224000275	1.212864414	0.307660639	1.14E-02	0.142689928	0.732841253
0.225000277	1.221608188	0.309001237	1.13E-02	0.145144209	0.734464884
0.226000279	1.230380246	0.310357392	1.12E-02	0.147627205	0.736124754
0.227000281	1.239184454	0.311729282	1.10E-02	0.150139704	0.737818837
0.228000283	1.248024529	0.313116968	1.09E-02	0.152682513	0.739545107
0.229000285	1.256904008	0.314520389	1.07E-02	0.155256435	0.741301298
0.230000287	1.265826227	0.315939486	1.06E-02	0.157862306	0.743085086
0.231000289	1.274794304	0.317373991	1.04E-02	0.160500929	0.744893909
0.232000291	1.28381111	0.318823606	1.01E-02	0.163173109	0.746725202
0.233000293	1.292879255	0.320287913	9.92E-03	0.165879682	0.748576283
0.234000295	1.302001068	0.321766436	9.68E-03	0.168621406	0.750444233
0.235000297	1.311178579	0.323258519	9.43E-03	0.171399072	0.75232631
0.236000299	1.320413504	0.324763507	9.16E-03	0.174213439	0.754219532
0.237000301	1.329707231	0.326280653	8.89E-03	0.177065209	0.756120861
0.238000304	1.339060807	0.327809095	8.60E-03	0.179955095	0.758027375
0.239000306	1.34847493	0.329347879	8.31E-03	0.182883739	0.759936094
0.240000308	1.357949937	0.33089608	8.01E-03	0.185851753	0.76184386
0.24100031	1.367485801	0.332452595	7.70E-03	0.188859716	0.763747871
0.242000312	1.377082129	0.334016323	7.39E-03	0.191908151	0.765645027
0.243000314	1.386738153	0.335586071	7.08E-03	0.194997519	0.767532527
0.244000316	1.396452741	0.337160677	6.76E-03	0.198128223	0.769407451
0.245000318	1.406224391	0.338738889	6.44E-03	0.201300636	0.771267116
0.24600032	1.416051246	0.340319395	6.12E-03	0.204515025	0.77310878
0.247000322	1.425931096	0.341900945	5.80E-03	0.207771629	0.77493
0.248000324	1.435861393	0.343482196	5.49E-03	0.211070612	0.776728213
